objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
449;448;2720;22;2;230;2204;Sissonne;2069;2242;394;389;399;442;276;169;429;517;506;421;227;142
574;573;2753;22;2;237;2205;Tupigny;360;359;80;57;62;76;50;35;72;54;56;81;46;52
688;687;2192;22;2;222;56;Chouy;395;370;100;58;115;79;31;12;102;54;121;58;21;14
756;755;2036;22;2;204;2206;Augy;91;71;22;16;21;16;7;9;13;10;22;8;8;9
983;982;2130;22;2;217;2203;Bucilly;191;207;31;23;28;58;29;20;38;31;33;57;26;21
1123;1122;2543;22;2;222;56;Neuilly-Saint-Front;2166;2124;460;387;406;414;286;212;461;381;448;402;244;188
1141;1140;2412;22;2;224;2206;Launoy;102;92;30;10;25;20;15;2;23;14;27;16;11;1
1269;1268;2588;22;2;212;2204;Pargnan;62;58;9;10;15;16;12;2;15;5;14;15;8;1
1318;1317;2419;22;2;223;2203;Leschelle;298;270;54;35;57;57;57;39;44;30;60;51;52;32
1429;1428;2777;22;2;207;2201;Vendières;154;131;29;16;41;38;23;7;19;12;34;35;22;9
1462;1461;2693;22;2;224;2206;Saint-Rémy-Blanzy;229;227;47;31;54;52;28;17;51;41;48;60;17;9
1619;1618;2502;22;2;226;2204;Montcornet;1507;1654;284;296;249;329;211;138;343;354;326;328;185;118
1627;1626;2450;22;2;216;2205;Macquigny;375;394;93;43;95;71;46;26;90;64;95;76;44;25
1630;1629;2575;22;2;225;2205;Origny-Sainte-Benoite;1716;1701;323;306;311;385;251;141;305;315;327;378;221;156
1633;1632;2482;22;2;221;2204;Meurival;52;61;12;10;12;11;4;4;14;13;17;8;3;6
2294;2293;2433;22;2;226;2204;Lislet;246;247;37;36;40;68;37;28;40;46;47;62;26;25
2467;2466;2618;22;2;203;2205;Prémont;757;718;188;126;153;146;84;60;153;138;141;151;84;50
2473;2472;2349;22;2;212;2204;Goudelancourt-lès-Berrieux;59;72;12;7;7;23;4;7;14;15;11;21;8;3
2474;2473;2542;22;2;209;2202;Neuflieux;96;89;24;12;20;23;10;6;17;19;19;22;10;3
2536;2535;2352;22;2;206;2205;Gouy;585;621;126;83;112;129;88;47;124;108;140;129;78;42
2574;2573;2791;22;2;238;2204;Veslud;260;240;47;42;58;55;34;24;46;37;56;58;32;10
2710;2709;2452;22;2;233;2205;Maissemy;244;234;63;31;54;44;36;17;64;20;62;48;28;11
3104;3103;2308;22;2;223;2203;Fesmy-le-Sart;502;479;101;71;108;116;57;49;86;91;98;110;56;38
3227;3226;2684;22;2;217;2203;Saint-Michel;3548;3520;730;581;695;770;490;281;691;613;715;799;441;261
3263;3262;2496;22;2;222;56;Monnes;121;89;39;14;37;16;13;1;21;16;22;21;7;2
3311;3310;2286;22;2;223;2203;Esquéhéries;848;862;167;121;166;191;125;78;160;163;160;193;106;80
3312;3311;2831;22;2;217;2203;Watigny;372;365;71;59;72;80;62;30;75;51;70;90;46;32
3325;3324;2514;22;2;235;2206;Montigny-Lengrain;677;657;147;112;152;155;77;33;134;104;150;174;55;40
3414;3413;2553;22;2;230;2204;Nizy-le-Comte;256;257;57;26;47;69;40;17;55;43;55;54;36;15
3518;3517;2276;22;2;205;2203;Englancourt;125;115;24;23;29;16;23;10;19;18;31;12;26;8
3554;3553;2063;22;2;206;2205;Bellenglise;385;391;83;62;80;72;68;21;82;47;101;76;58;27
3738;3737;2469;22;2;216;2203;Marly-Gomont;425;420;67;75;59;80;79;64;68;61;61;92;83;53
3898;3897;2135;22;2;205;2203;Buironfosse;1189;1195;245;188;225;239;180;112;238;205;244;229;166;113
